Date,Close
2015-06-03,95.97000122070312
2015-06-04,94.56999969482422
2015-06-05,93.27999877929688
2015-06-08,94.9800033569336
2015-06-09,92.29000091552734
2015-06-10,90.76000213623048
2015-06-11,92.16999816894533
2015-06-12,93.72000122070312
2015-06-15,88.08000183105469
2015-06-16,85.69999694824219
2015-06-17,86.33999633789062
2015-06-18,86.68000030517578
2015-06-19,85.04000091552734
2015-06-22,87.22000122070312
2015-06-23,91.3000030517578
2015-06-24,91.6999969482422
2015-06-25,88.69000244140625
2015-06-26,83.79000091552734
2015-06-29,79.2699966430664
2015-06-30,83.13999938964844
2015-07-01,81.94999694824219
2015-07-02,82.0999984741211
2015-07-06,74.98999786376953
2015-07-07,68.61000061035156
2015-07-08,58.7400016784668
2015-07-09,64.43000030517578
2015-07-10,70.62000274658203
2015-07-13,71.11000061035156
2015-07-14,70.41999816894531
2015-07-15,67.18000030517578
2015-07-16,69.83000183105469
2015-07-17,70.75
2015-07-20,69.86000061035156
2015-07-21,70.55000305175781
2015-07-22,69.06999969482422
2015-07-23,69.05000305175781
2015-07-24,67.16000366210938
2015-07-27,61.90999984741211
2015-07-28,64.04000091552734
2015-07-29,65.62000274658203
2015-07-30,63.61000061035156
2015-07-31,63.43999862670898
2015-08-03,61.20000076293945
2015-08-04,62.08000183105469
2015-08-05,62.90999984741211
2015-08-06,61.93000030517578
2015-08-07,63.13999938964844
2015-08-10,65.94000244140625
2015-08-11,64.27999877929688
2015-08-12,61.52999877929688
2015-08-13,62.400001525878906
2015-08-14,62.79999923706055
2015-08-17,62.04999923706055
2015-08-18,59.45000076293945
2015-08-19,56.77999877929688
2015-08-20,54.0
2015-08-21,51.29999923706055
2015-08-24,44.66999816894531
2015-08-25,46.68999862670898
2015-08-26,48.83000183105469
2015-08-27,53.400001525878906
2015-08-28,50.310001373291016
2015-08-31,49.02000045776367
2015-09-01,44.52999877929688
2015-09-02,45.47999954223633
2015-09-03,46.09000015258789
2015-09-04,42.77000045776367
2015-09-08,48.70000076293945
2015-09-09,48.88999938964844
2015-09-10,49.08000183105469
2015-09-11,49.790000915527344
2015-09-14,48.79999923706055
2015-09-15,50.11000061035156
2015-09-16,53.130001068115234
2015-09-17,51.93999862670898
2015-09-18,49.63999938964844
2015-09-21,51.0099983215332
2015-09-22,49.29999923706055
2015-09-23,47.880001068115234
2015-09-24,47.04999923706055
2015-09-25,46.88999938964844
2015-09-28,45.130001068115234
2015-09-29,45.09000015258789
2015-09-30,47.310001373291016
2015-10-01,47.88999938964844
2015-10-02,51.4900016784668
2015-10-05,53.209999084472656
2015-10-06,51.75
2015-10-07,55.9900016784668
2015-10-08,56.540000915527344
2015-10-09,56.06999969482422
2015-10-12,56.15999984741211
2015-10-13,54.68999862670898
2015-10-14,55.16999816894531
2015-10-15,58.81999969482422
2015-10-16,59.209999084472656
2015-10-19,58.15999984741211
2015-10-20,58.22999954223633
2015-10-21,56.540000915527344
2015-10-22,59.02000045776367
2015-10-23,61.02999877929688
2015-10-26,58.38999938964844
2015-10-27,57.45000076293945
2015-10-28,56.25
2015-10-29,55.16999816894531
2015-10-30,54.900001525878906
2015-11-02,55.68000030517578
2015-11-03,55.880001068115234
2015-11-04,57.2599983215332
2015-11-05,57.880001068115234
2015-11-06,56.790000915527344
2015-11-09,54.540000915527344
2015-11-10,53.77000045776367
2015-11-11,53.79999923706055
2015-11-12,53.619998931884766
2015-11-13,51.59000015258789
2015-11-16,53.15999984741211
2015-11-17,52.68999862670898
2015-11-18,53.369998931884766
2015-11-19,53.5099983215332
2015-11-20,55.34000015258789
2015-11-23,54.15999984741211
2015-11-24,54.11000061035156
2015-11-25,53.93999862670898
2015-11-27,50.970001220703125
2015-11-30,52.220001220703125
2015-12-01,52.93000030517578
2015-12-02,51.97999954223633
2015-12-03,51.16999816894531
2015-12-04,52.09999847412109
2015-12-07,50.5099983215332
2015-12-08,48.959999084472656
2015-12-09,48.0
2015-12-10,47.11000061035156
2015-12-11,44.47999954223633
2015-12-14,45.66999816894531
2015-12-15,47.27999877929688
2015-12-16,48.97999954223633
2015-12-17,47.810001373291016
2015-12-18,48.68000030517578
2015-12-21,49.70000076293945
2015-12-22,49.88999938964844
2015-12-23,51.83000183105469
2015-12-24,51.59999847412109
2015-12-28,50.040000915527344
2015-12-29,50.310001373291016
2015-12-30,48.7400016784668
2015-12-31,48.34999847412109
2016-01-04,45.20000076293945
2016-01-05,44.709999084472656
2016-01-06,42.79999923706055
2016-01-07,39.45000076293945
2016-01-08,38.650001525878906
2016-01-11,38.22999954223633
2016-01-12,38.09000015258789
2016-01-13,36.68000030517578
2016-01-14,37.75
2016-01-15,34.29999923706055
2016-01-19,35.90999984741211
2016-01-20,33.369998931884766
2016-01-21,33.810001373291016
2016-01-22,36.220001220703125
2016-01-25,34.52000045776367
2016-01-26,35.0099983215332
2016-01-27,34.060001373291016
2016-01-28,35.02000045776367
2016-01-29,37.310001373291016
2016-02-01,35.709999084472656
2016-02-02,33.900001525878906
2016-02-03,34.939998626708984
2016-02-04,34.36000061035156
2016-02-05,33.65999984741211
2016-02-08,32.5
2016-02-09,31.89999961853028
2016-02-10,32.310001373291016
2016-02-11,30.90999984741211
2016-02-12,32.25
2016-02-16,34.83000183105469
2016-02-17,36.11000061035156
2016-02-18,35.36000061035156
2016-02-19,35.45000076293945
2016-02-22,37.38999938964844
2016-02-23,35.52000045776367
2016-02-24,35.33000183105469
2016-02-25,35.099998474121094
2016-02-26,35.18000030517578
2016-02-29,35.0099983215332
2016-03-01,37.36000061035156
2016-03-02,39.0
2016-03-03,39.04999923706055
2016-03-04,41.27000045776367
2016-03-07,40.400001525878906
2016-03-08,38.560001373291016
2016-03-09,38.81999969482422
2016-03-10,38.16999816894531
2016-03-11,40.90999984741211
2016-03-14,41.0
2016-03-15,40.5099983215332
2016-03-16,41.400001525878906
2016-03-17,42.380001068115234
2016-03-18,42.95000076293945
2016-03-21,43.04999923706055
2016-03-22,42.380001068115234
2016-03-23,41.13999938964844
2016-03-24,40.470001220703125
2016-03-28,41.16999816894531
2016-03-29,41.970001220703125
2016-03-30,43.25
2016-03-31,43.11000061035156
2016-04-01,42.7400016784668
2016-04-04,41.68999862670898
2016-04-05,39.790000915527344
2016-04-06,41.209999084472656
2016-04-07,39.65999984741211
2016-04-08,40.650001525878906
2016-04-11,41.619998931884766
2016-04-12,42.790000915527344
2016-04-13,46.130001068115234
2016-04-14,46.0099983215332
2016-04-15,44.91999816894531
2016-04-18,45.40999984741211
2016-04-19,46.56999969482422
2016-04-20,45.40999984741211
2016-04-21,44.88999938964844
2016-04-22,44.470001220703125
2016-04-25,43.369998931884766
2016-04-26,43.84000015258789
2016-04-27,44.56999969482422
2016-04-28,43.72999954223633
2016-04-29,42.36000061035156
2016-05-02,42.16999816894531
2016-05-03,40.130001068115234
2016-05-04,39.130001068115234
2016-05-05,39.25
2016-05-06,38.810001373291016
2016-05-09,37.59000015258789
2016-05-10,39.25
2016-05-11,38.08000183105469
2016-05-12,37.88999938964844
2016-05-13,36.56999969482422
2016-05-16,38.04999923706055
2016-05-17,37.650001525878906
2016-05-18,37.09000015258789
2016-05-19,36.5
2016-05-20,37.54999923706055
2016-05-23,37.369998931884766
2016-05-24,38.81999969482422
2016-05-25,40.20000076293945
2016-05-26,40.02000045776367
2016-05-27,40.20000076293945
2016-05-31,42.36000061035156
2016-06-01,41.91999816894531
2016-06-02,42.619998931884766
2016-06-03,42.72999954223633
2016-06-06,43.900001525878906
2016-06-07,44.93000030517578
2016-06-08,45.16999816894531
2016-06-09,44.68000030517578
2016-06-10,42.34000015258789
2016-06-13,40.56999969482422
2016-06-14,40.68000030517578
2016-06-15,40.91999816894531
2016-06-16,40.65999984741211
2016-06-17,40.369998931884766
2016-06-20,41.72999954223633
2016-06-21,42.560001373291016
2016-06-22,43.27000045776367
2016-06-23,45.400001525878906
2016-06-24,40.06999969482422
2016-06-27,39.59000015258789
2016-06-28,41.4900016784668
2016-06-29,42.9900016784668
2016-06-30,44.209999084472656
2016-07-01,44.83000183105469
2016-07-05,42.83000183105469
2016-07-06,42.65999984741211
2016-07-07,42.290000915527344
2016-07-08,44.040000915527344
2016-07-11,44.7599983215332
2016-07-12,46.52000045776367
2016-07-13,46.119998931884766
2016-07-14,47.56999969482422
2016-07-15,47.41999816894531
2016-07-18,48.20000076293945
2016-07-19,46.43000030517578
2016-07-20,47.459999084472656
2016-07-21,47.380001068115234
2016-07-22,47.959999084472656
2016-07-25,47.13999938964844
2016-07-26,48.33000183105469
2016-07-27,47.900001525878906
2016-07-28,47.4900016784668
2016-07-29,47.27000045776367
2016-08-01,47.060001373291016
2016-08-02,46.54999923706055
2016-08-03,46.9900016784668
2016-08-04,47.13999938964844
2016-08-05,48.70000076293945
2016-08-08,49.34000015258789
2016-08-09,50.11000061035156
2016-08-10,49.61000061035156
2016-08-11,51.56999969482422
2016-08-12,51.9900016784668
2016-08-15,54.310001373291016
2016-08-16,53.77999877929688
2016-08-17,53.08000183105469
2016-08-18,53.790000915527344
2016-08-19,53.29999923706055
2016-08-22,52.36000061035156
2016-08-23,52.310001373291016
2016-08-24,51.75
2016-08-25,51.77999877929688
2016-08-26,51.310001373291016
2016-08-29,51.97999954223633
2016-08-30,52.65999984741211
2016-08-31,51.59999847412109
2016-09-01,52.400001525878906
2016-09-02,54.619998931884766
2016-09-06,56.27000045776367
2016-09-07,56.40999984741211
2016-09-08,57.22999954223633
2016-09-09,54.93000030517578
2016-09-12,55.15999984741211
2016-09-13,52.369998931884766
2016-09-14,52.290000915527344
2016-09-15,54.06999969482422
2016-09-16,53.54999923706055
2016-09-19,53.66999816894531
2016-09-20,53.900001525878906
2016-09-21,56.59000015258789
2016-09-22,57.09999847412109
2016-09-23,55.0
2016-09-26,52.869998931884766
2016-09-27,53.869998931884766
2016-09-28,55.04999923706055
2016-09-29,53.93000030517578
2016-09-30,54.15999984741211
2016-10-03,54.0
2016-10-04,53.5099983215332
2016-10-05,55.93999862670898
2016-10-06,56.52000045776367
2016-10-07,55.65999984741211
2016-10-10,56.959999084472656
2016-10-11,53.79999923706055
2016-10-12,53.5099983215332
2016-10-13,51.880001068115234
2016-10-14,52.75
2016-10-17,51.790000915527344
2016-10-18,53.619998931884766
2016-10-19,53.869998931884766
2016-10-20,53.54999923706055
2016-10-21,53.560001373291016
2016-10-24,54.20000076293945
2016-10-25,53.970001220703125
2016-10-26,52.7400016784668
2016-10-27,51.79999923706055
2016-10-28,50.7400016784668
2016-10-31,50.88999938964844
2016-11-01,51.400001525878906
2016-11-02,50.08000183105469
2016-11-03,49.93999862670898
2016-11-04,49.0099983215332
2016-11-07,52.06999969482422
2016-11-08,53.310001373291016
2016-11-09,50.25
2016-11-10,49.2599983215332
2016-11-11,48.09999847412109
2016-11-14,47.470001220703125
2016-11-15,49.040000915527344
2016-11-16,47.900001525878906
2016-11-17,48.119998931884766
2016-11-18,48.04999923706055
2016-11-21,48.880001068115234
2016-11-22,50.68000030517578
2016-11-23,50.29999923706055
2016-11-25,51.119998931884766
2016-11-28,51.59999847412109
2016-11-29,52.15999984741211
2016-11-30,52.61000061035156
2016-12-01,52.34000015258789
2016-12-02,52.0
2016-12-05,51.65999984741211
2016-12-06,51.75
2016-12-07,52.97999954223633
2016-12-08,52.93999862670898
2016-12-09,52.29999923706055
2016-12-12,49.869998931884766
2016-12-13,51.119998931884766
2016-12-14,48.790000915527344
2016-12-15,47.90999984741211
2016-12-16,46.84000015258789
2016-12-19,46.470001220703125
2016-12-20,46.15999984741211
2016-12-21,45.86000061035156
2016-12-22,44.810001373291016
2016-12-23,44.70000076293945
2016-12-27,44.869998931884766
2016-12-28,45.58000183105469
2016-12-29,46.84999847412109
2016-12-30,46.54999923706055
2017-01-03,47.7400016784668
2017-01-04,48.709999084472656
2017-01-05,50.150001525878906
2017-01-06,49.34999847412109
2017-01-09,49.43000030517578
2017-01-10,50.77999877929688
2017-01-11,51.58000183105469
2017-01-12,51.34999847412109
2017-01-13,51.720001220703125
2017-01-17,51.09000015258789
2017-01-18,51.650001525878906
2017-01-19,51.150001525878906
2017-01-20,51.0099983215332
2017-01-23,51.310001373291016
2017-01-24,52.0
2017-01-25,52.25
2017-01-26,52.36000061035156
2017-01-27,52.290000915527344
2017-01-30,51.86000061035156
2017-01-31,51.900001525878906
2017-02-01,51.9900016784668
2017-02-02,51.95000076293945
2017-02-03,51.83000183105469
2017-02-06,52.25
2017-02-07,52.220001220703125
2017-02-08,53.81999969482422
2017-02-09,55.13999938964844
2017-02-10,55.630001068115234
2017-02-13,56.43999862670898
2017-02-14,56.43000030517578
2017-02-15,58.02999877929688
2017-02-16,57.810001373291016
2017-02-17,57.130001068115234
2017-02-21,58.09999847412109
2017-02-22,58.70000076293945
2017-02-23,58.68999862670898
2017-02-24,57.27999877929688
2017-02-27,56.56999969482422
2017-02-28,56.2599983215332
2017-03-01,57.45000076293945
2017-03-02,55.09000015258789
2017-03-03,55.310001373291016
2017-03-06,55.16999816894531
2017-03-07,55.540000915527344
2017-03-08,55.36000061035156
2017-03-09,54.16999816894531
2017-03-10,54.65999984741211
2017-03-13,56.470001220703125
2017-03-14,56.02000045776367
2017-03-15,58.43000030517578
2017-03-16,59.56999969482422
2017-03-17,59.040000915527344
2017-03-20,60.459999084472656
2017-03-21,59.220001220703125
2017-03-22,59.40999984741211
2017-03-23,59.33000183105469
2017-03-24,59.09000015258789
2017-03-27,59.09000015258789
2017-03-28,59.25
2017-03-29,58.77000045776367
2017-03-30,57.959999084472656
2017-03-31,57.150001525878906
2017-04-03,57.7599983215332
2017-04-04,58.34999847412109
2017-04-05,58.220001220703125
2017-04-06,57.70000076293945
2017-04-07,57.86000061035156
2017-04-10,57.22999954223633
2017-04-11,56.5
2017-04-12,56.720001220703125
2017-04-13,56.54999923706055
2017-04-17,56.90999984741211
2017-04-18,55.040000915527344
2017-04-19,54.27000045776367
2017-04-20,55.86000061035156
2017-04-21,55.43000030517578
2017-04-24,56.119998931884766
2017-04-25,57.54999923706055
2017-04-26,57.52000045776367
2017-04-27,57.0
2017-04-28,57.04999923706055
2017-05-01,57.54999923706055
2017-05-02,56.84999847412109
2017-05-03,56.41999816894531
2017-05-04,54.72999954223633
2017-05-05,54.720001220703125
2017-05-08,54.380001068115234
2017-05-09,56.36000061035156
2017-05-10,57.59999847412109
2017-05-11,57.400001525878906
2017-05-12,58.68999862670898
2017-05-15,60.22999954223633
2017-05-16,59.88999938964844
2017-05-17,58.220001220703125
2017-05-18,58.43000030517578
2017-05-19,59.58000183105469
2017-05-22,60.33000183105469
2017-05-23,60.209999084472656
2017-05-24,60.16999816894531
2017-05-25,62.18000030517578
2017-05-26,62.25
2017-05-30,62.400001525878906
2017-05-31,62.0099983215332
2017-06-01,63.0099983215332
2017-06-02,63.040000915527344
2017-06-05,62.34999847412109
2017-06-06,63.060001373291016
2017-06-07,62.5099983215332
2017-06-08,63.209999084472656
2017-06-09,62.0
2017-06-12,60.59000015258789
2017-06-13,61.709999084472656
2017-06-14,60.900001525878906
2017-06-15,59.75
2017-06-16,60.02000045776367
2017-06-19,61.75
2017-06-20,60.34000015258789
2017-06-21,60.119998931884766
2017-06-22,61.13999938964844
2017-06-23,61.2599983215332
2017-06-26,62.59000015258789
2017-06-27,61.41999816894531
2017-06-28,61.95000076293945
2017-06-29,60.630001068115234
2017-06-30,60.93999862670898
2017-07-03,62.13999938964844
2017-07-05,61.47999954223633
2017-07-06,60.25
2017-07-07,60.27000045776367
2017-07-10,60.31999969482422
2017-07-11,62.79999923706055
2017-07-12,65.2300033569336
2017-07-13,65.55000305175781
2017-07-14,67.62000274658203
2017-07-17,67.08999633789062
2017-07-18,66.87999725341797
2017-07-19,68.58000183105469
2017-07-20,68.26000213623047
2017-07-21,68.2300033569336
2017-07-24,68.5999984741211
2017-07-25,68.38999938964844
2017-07-26,69.66000366210938
2017-07-27,69.13999938964844
2017-07-28,69.27999877929688
2017-07-31,69.75
2017-08-01,71.5
2017-08-02,70.86000061035156
2017-08-03,70.62000274658203
2017-08-04,70.75
2017-08-07,71.18000030517578
2017-08-08,72.19999694824219
2017-08-09,71.06999969482422
2017-08-10,66.95999908447266
2017-08-11,67.2699966430664
2017-08-14,68.36000061035156
2017-08-15,68.02999877929688
2017-08-16,70.12999725341797
2017-08-17,67.55000305175781
2017-08-18,67.73999786376953
2017-08-21,69.2300033569336
2017-08-22,71.6500015258789
2017-08-23,72.16000366210938
2017-08-24,72.69000244140625
2017-08-25,75.05000305175781
2017-08-28,75.18000030517578
2017-08-29,75.33000183105469
2017-08-30,75.1500015258789
2017-08-31,75.04000091552734
2017-09-01,75.25
2017-09-05,73.08999633789062
2017-09-06,73.80000305175781
2017-09-07,74.18000030517578
2017-09-08,73.51000213623047
2017-09-11,75.9800033569336
2017-09-12,75.55000305175781
2017-09-13,74.87000274658203
2017-09-14,74.33000183105469
2017-09-15,75.41000366210938
2017-09-18,76.91000366210938
2017-09-19,77.0999984741211
2017-09-20,77.44999694824219
2017-09-21,77.83000183105469
2017-09-22,76.1500015258789
2017-09-25,72.1500015258789
2017-09-26,73.5
2017-09-27,73.80999755859375
2017-09-28,72.68000030517578
2017-09-29,74.12999725341797
2017-10-02,74.63999938964844
